repository,owner,name,stars,previous,delta,status
code-istvan/bw,code-istvan,bw,1,1,0,active
fbuireu/biancafiore,fbuireu,biancafiore,8,8,0,active
fbuireu/contribKit,fbuireu,contribKit,4,4,0,active
fbuireu/curriculum-vitae,fbuireu,curriculum-vitae,1,1,0,active
fbuireu/email-signature,fbuireu,email-signature,0,0,0,active
fbuireu/fbuireu,fbuireu,fbuireu,5,5,0,active
fbuireu/fbuireu-cli,fbuireu,fbuireu-cli,1,1,0,active
fbuireu/forever-pto,fbuireu,forever-pto,0,0,0,active
fbuireu/github-star-tracker,fbuireu,github-star-tracker,9,8,1,active
fbuireu/hashnode-articles-backup,fbuireu,hashnode-articles-backup,0,0,0,active
